Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
7,SRK,3,2936.31,122.35,0,0,0,0,0,0,346.36,295.54,0,,0,0,0,0,0,0,0,629.9,557.08,0,0,440.88,666.55,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PEÑA GUARA,3,2850.22,118.76,327.64,351.13,168.97,161.43,0,0,0,0,0,,0,0,0,219.86,239.87,216.55,174.53,66.54,170.47,423.08,330.15,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ASON,3,2760.23,115.01,157.68,154.57,448.54,522.66,234.26,388.41,152.63,75.37,133,,121.73,0,0,80,80,76.22,0,53.84,81.32,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CRON,3,2635.49,109.81,0,0,0,0,0,0,0,0,208.11,,231.79,0,0,139.35,179.83,130.7,159.96,76.96,96.52,443.48,425.88,162.62,132.76,108.62,138.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,VILLACARRILLO,3,2622.72,109.28,0,0,0,0,0,0,518.94,176.55,0,,0,0,0,127.8,128.72,164.31,146.39,325.75,261.32,0,0,316.77,456.17,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARTABROS,3,2454.45,102.27,144.67,170.01,0,0,0,0,0,0,531.75,,453.07,0,0,221.21,300.72,315.95,317.07,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BRIGANTIA,3,2375.97,99,216.68,300.6,0,0,0,0,0,0,413.79,,422.61,0,0,230.32,313.54,288,190.43,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ADCON,3,2366.95,98.62,0,0,52.87,72.56,253.25,330.88,80,42.79,0,,0,68.38,77.82,74.78,51.7,70.26,69.87,74.66,75.98,303.01,383.37,74.56,78.49,72.9,58.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WAKHÁN,3,2336.16,97.34,0,0,0,0,0,0,0,0,230.47,,178.05,0,0,224.64,317.81,314.88,205.6,92.14,113.58,194.6,162.27,104.16,110.2,87.76,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALMADRABA,3,2299.2,95.8,0,0,0,0,0,0,206.5,452.24,0,,0,0,0,107.49,121.33,144.86,101.31,284.97,331.79,0,0,278.73,269.98,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GOT,3,2295.33,95.64,0,0,0,0,0,0,0,0,308.98,,248.14,0,0,450.1,446.49,388.25,453.37,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,COHU,3,2166.22,90.26,70.25,20,0,0,0,0,497.52,596.33,0,,0,0,0,0,0,0,0,0,0,68.41,80.06,368.35,465.3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,APA LICEO,3,2143.8,89.32,67.39,84.54,0,0,0,0,0,0,563.63,,401.87,0,0,207.91,233.74,277.02,307.7,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LIMIACTIVA,3,2127.19,88.63,163.28,234.66,0,0,145.92,163.49,0,0,276.77,,219.02,0,0,216.96,220.95,257.79,228.35,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
